fid,confidence,metadata,class,source,reviewed,code,created_by
95,"5",,,,,JACMIM,kanoa
96,"5",,,,,JACMIM,kanoa
97,"5",,,,,GREROB,kanoa
98,"5",,,,,JACMIM,kanoa
99,"5",,,,,JACMIM,kanoa
100,"5",,,,,GREROB,kanoa
101,"5",,,,,JACMIM,kanoa
102,"5",,,,,GREROB,kanoa
103,"5",,,,,JACMIM,kanoa
104,"5",,,,,JACMIM,kanoa
105,"5",,,,,JACMIM,kanoa
106,"5",,,,,JACMIM,kanoa
107,"5",,,,,JACMIM,kanoa
108,"5",,,,,GREROB,kanoa
109,"5",,,,,JACMIM,kanoa
110,"5",,,,,JACMIM,kanoa
111,"5",,,,,JACMIM,kanoa
112,"5",,,,,JACMIM,kanoa
113,"5",,,,,JACMIM,kanoa
114,"5",,,,,JACMIM,kanoa
115,"5",,,,,GREROB,kanoa
116,"5",,,,,GREROB,kanoa
117,"5",,,,,JACMIM,kanoa
118,"5",,,,,JACMIM,kanoa
119,"5",,,,,STDDED,kanoa
120,"5",,,,,STDDED,kanoa
121,"5",,,,,STDDED,kanoa
122,"5",,,,,STDDED,kanoa
123,"5",,,,,STDDED,kanoa
124,"5",,,,,STDDED,kanoa
125,"5",,,,,JACMIM,kanoa
126,"5",,,,,STDDED,kanoa
127,"5",,,,,STDDED,kanoa
128,"5",,,,,GREROB,kanoa
129,"4",,,,,PLASAN,kanoa
130,"5",,,,,DIOSAN,kanoa
131,"5",,,,,DIOSAN,kanoa
132,"5",,,,,DIOSAN,kanoa
133,"5",,,,,DIOSAN,kanoa
134,"5",,,,,DIOSAN,kanoa
135,"5",,,,,DIOSAN,kanoa
136,"5",,,,,DIOSAN,kanoa
137,"5",,,,,CHRHAW,kanoa
138,"5",,,,,DIOSAN,kanoa
139,"5",,,,,DIOSAN,kanoa
140,"5",,,,,DIOSAN,kanoa
141,"5",,,,,DIOSAN,kanoa
142,"5",,,,,PLASAN,kanoa
143,"5",,,,,METPOL,kanoa
144,"5",,,,,ERYSAN,kanoa
145,"5",,,,,DIOSAN,kanoa
146,"5",,,,,GREROB,kanoa
147,"5",,,,,STDDED,kanoa
148,"5",,,,,DIOSAN,kanoa
149,"5",,,,,FLNDED,kanoa
150,"5",,,,,DIOSAN,kanoa
151,"5",,,,,GREROB,kanoa
152,"5",,,,,GREROB,kanoa
153,"5",,,,,FLNDED,kanoa
154,"5",,,,,STDDED,kanoa
155,"5",,,,,DIOSAN,kanoa
156,"5",,,,,DIOSAN,kanoa
157,"5",,,,,DIOSAN,kanoa
158,"5",,,,,DIOSAN,kanoa
159,"5",,,,,DIOSAN,kanoa
160,"5",,,,,DIOSAN,kanoa
161,"5",,,,,DIOSAN,kanoa
162,"5",,,,,DIOSAN,kanoa
163,"5",,,,,DIOSAN,kanoa
164,"5",,,,,DIOSAN,kanoa
165,"5",,,,,DIOSAN,kanoa
166,"5",,,,,DIOSAN,kanoa
167,"5",,,,,DIOSAN,kanoa
168,"5",,,,,DIOSAN,kanoa
169,"5",,,,,FLNDED,kanoa
170,"5",,,,,STDDED,kanoa
171,"5",,,,,FLNDED,kanoa
172,"5",,,,,STDDED,kanoa
173,"5",,,,,DIOSAN,kanoa
174,"5",,,,,DIOSAN,kanoa
175,"5",,,,,DIOSAN,kanoa
176,"5",,,,,STDDED,kanoa
177,"4",,,,,DIOSAN,kanoa
178,"5",,,,,DIOSAN,kanoa
179,"5",,,,,DIOSAN,kanoa
180,"5",,,,,DIOSAN,kanoa
181,"5",,,,,DIOSAN,kanoa
182,"5",,,,,FLNDED,kanoa
183,"5",,,,,FLNDED,kanoa
184,"5",,,,,DIOSAN,kanoa
185,"5",,,,,DIOSAN,kanoa
186,"5",,,,,DIOSAN,kanoa
187,"5",,,,,FLNDED,kanoa
188,"5",,,,,DIOSAN,kanoa
189,"5",,,,,DIOSAN,kanoa
190,"5",,,,,DIOSAN,kanoa
191,"5",,,,,DIOSAN,kanoa
192,"5",,,,,DIOSAN,kanoa
193,"5",,,,,DIOSAN,kanoa
194,"5",,,,,DIOSAN,kanoa
195,"5",,,,,STDDED,kanoa
196,"5",,,,,STDDED,kanoa
197,"5",,,,,DIOSAN,kanoa
198,"5",,,,,STDDED,kanoa
199,"5",,,,,DIOSAN,kanoa
200,"5",,,,,DIOSAN,kanoa
201,"5",,,,,DIOSAN,kanoa
202,"5",,,,,UNPRED,kanoa
203,"5",,,,,DIOSAN,kanoa
204,"5",,,,,DIOSAN,kanoa
205,"5",,,,,STDDED,kanoa
206,"5",,,,,STDDED,kanoa
207,"5",,,,,DIOSAN,kanoa
208,"5",,,,,STDDED,kanoa
209,"5",,,,,STDDED,kanoa
210,"5",,,,,STDDED,kanoa
211,"5",,,,,CHRHAW,kanoa
212,"5",,,,,DIOSAN,kanoa
213,"5",,,,,STDDED,kanoa
214,"5",,,,,DIOSAN,kanoa
215,"5",,,,,DIOSAN,kanoa
216,"5",,,,,DIOSAN,kanoa
217,"5",,,,,DIOSAN,kanoa
218,"5",,,,,DIOSAN,kanoa
219,"5",,,,,DIOSAN,kanoa
220,"5",,,,,DIOSAN,kanoa
221,"5",,,,,STDDED,kanoa
222,"5",,,,,STDDED,kanoa
223,"5",,,,,DIOSAN,kanoa
224,"5",,,,,DIOSAN,kanoa
225,"5",,,,,DIOSAN,kanoa
226,"5",,,,,DIOSAN,kanoa
227,"5",,,,,DIOSAN,kanoa
228,"5",,,,,CHRHAW,kanoa
229,"5",,,,,DIOSAN,kanoa
230,"5",,,,,UNPRED,kanoa
231,"5",,,,,DIOSAN,kanoa
232,"5",,,,,STDDED,kanoa
233,"5",,,,,STDDED,kanoa
234,"5",,,,,STDDED,kanoa
235,"5",,,,,STDDED,kanoa
236,"5",,,,,STDDED,kanoa
237,"5",,,,,STDDED,kanoa
238,"5",,,,,DIOSAN,kanoa
239,"5",,,,,DIOSAN,kanoa
240,"5",,,,,DIOSAN,kanoa
241,"5",,,,,PLASAN,kanoa
242,"5",,,,,STDDED,kanoa
243,"5",,,,,DIOSAN,kanoa
244,"5",,,,,DIOSAN,kanoa
245,"5",,,,,FLNDED,kanoa
246,"5",,,,,DIOSAN,kanoa
247,"5",,,,,DIOSAN,kanoa
248,"5",,,,,DIOSAN,kanoa
249,"5",,,,,DIOSAN,kanoa
250,"5",,,,,STDDED,kanoa
251,"5",,,,,DIOSAN,kanoa
252,"5",,,,,DIOSAN,kanoa
253,"5",,,,,DIOSAN,kanoa
254,"5",,,,,DIOSAN,kanoa
255,"5",,,,,DIOSAN,kanoa
256,"5",,,,,DIOSAN,kanoa
257,"5",,,,,DIOSAN,kanoa
258,"5",,,,,DIOSAN,kanoa
259,"5",,,,,DIOSAN,kanoa
260,"5",,,,,DIOSAN,kanoa
261,"5",,,,,DIOSAN,kanoa
262,"5",,,,,DIOSAN,kanoa
263,"5",,,,,STDDED,kanoa
264,"5",,,,,STDDED,kanoa
265,"5",,,,,DIOSAN,kanoa
266,"5",,,,,DIOSAN,kanoa
267,"5",,,,,DIOSAN,kanoa
268,"5",,,,,DIOSAN,kanoa
269,"5",,,,,DIOSAN,kanoa
270,"5",,,,,DIOSAN,kanoa
271,"5",,,,,DIOSAN,kanoa
272,"5",,,,,DIOSAN,kanoa
273,"5",,,,,DIOSAN,kanoa
274,"5",,,,,CHRHAW,kanoa
275,"5",,,,,DIOSAN,kanoa
276,"5",,,,,DIOSAN,kanoa
277,"5",,,,,DIOSAN,kanoa
278,"5",,,,,DIOSAN,kanoa
279,"5",,,,,DIOSAN,kanoa
280,"5",,,,,DIOSAN,kanoa
281,"5",,,,,DIOSAN,kanoa
282,"5",,,,,DIOSAN,kanoa
283,"5",,,,,DIOSAN,kanoa
284,"5",,,,,DIOSAN,kanoa
285,"5",,,,,DIOSAN,kanoa
286,"4",,,,,FLNDED,kanoa
287,"5",PLASAN,,,,FLNDED,kanoa
288,"5",,,,,UNPRED,kanoa
289,"5",,,,,UNPRED,kanoa
290,"5",,,,,DIOSAN,kanoa
291,"5",,,,,DIOSAN,kanoa
292,"5",,,,,DIOSAN,kanoa
293,"5",,,,,DIOSAN,kanoa
294,"5",,,,,DIOSAN,kanoa
295,"5",,,,,FLNDED,kanoa
296,"5",,,,,FLNDED,kanoa
297,"5",,,,,DIOSAN,kanoa
298,"5",,,,,DIOSAN,kanoa
299,"5",,,,,DIOSAN,kanoa
300,"5",,,,,DIOSAN,kanoa
301,"5",,,,,DIOSAN,kanoa
302,"5",DIOSAN,,,,STDDED,kanoa
303,"5",,,,,DIOSAN,kanoa
304,"5",,,,,DIOSAN,kanoa
305,"5",,,,,DIOSAN,kanoa
306,"5",,,,,DIOSAN,kanoa
307,"5",,,,,DIOSAN,kanoa
308,"5",,,,,DIOSAN,kanoa
309,"5",,,,,DIOSAN,kanoa
310,"5",,,,,FLNDED,kanoa
311,"5",,,,,DIOSAN,kanoa
312,"5",,,,,STDDED,kanoa
313,"5",,,,,DIOSAN,kanoa
314,"4",,,,,DIOSAN,kanoa
315,"5",,,,,DIOSAN,kanoa
316,"5",,,,,UNPRED,kanoa
317,"5",,,,,DIOSAN,kanoa
318,"5",,,,,STDDED,kanoa
319,"5",,,,,FLNDED,kanoa
320,"5",,,,,DIOSAN,kanoa
321,"5",,,,,DIOSAN,kanoa
322,"5",,,,,DIOSAN,kanoa
323,"5",,,,,DIOSAN,kanoa
324,"5",,,,,FLNDED,kanoa
325,"5",,,,,DIOSAN,kanoa
326,"5",,,,,DIOSAN,kanoa
327,"5",,,,,DIOSAN,kanoa
328,"5",,,,,DIOSAN,kanoa
329,"5",,,,,UNPRED,kanoa
330,"5",,,,,UNPRED,kanoa
331,"5",,,,,DIOSAN,kanoa
332,"5",,,,,DIOSAN,kanoa
333,"5",,,,,DIOSAN,kanoa
334,"5",,,,,DIOSAN,kanoa
335,"5",,,,,DIOSAN,kanoa
336,"5",,,,,FLNDED,kanoa
337,"5",,,,,UNPRED,kanoa
338,"5",,,,,DIOSAN,kanoa
339,"5",,,,,DIOSAN,kanoa
340,"5",,,,,DIOSAN,kanoa
341,"5",,,,,DIOSAN,kanoa
342,"5",,,,,DIOSAN,kanoa
343,"5",,,,,DIOSAN,kanoa
344,"5",,,,,FLNDED,kanoa
345,"5",,,,,DIOSAN,kanoa
346,"5",,,,,DIOSAN,kanoa
347,"5",,,,,DIOSAN,kanoa
348,"5",,,,,FLNDED,kanoa
349,"5",,,,,DIOSAN,kanoa
350,"5",,,,,DIOSAN,kanoa
351,"5",,,,,DIOSAN,kanoa
352,"5",,,,,DIOSAN,kanoa
353,"5",,,,,DIOSAN,kanoa
354,"5",,,,,DIOSAN,kanoa
355,"5",,,,,DIOSAN,kanoa
356,"5",,,,,DIOSAN,kanoa
357,"5",,,,,DIOSAN,kanoa
358,"5",,,,,DIOSAN,kanoa
359,"5",,,,,DIOSAN,kanoa
360,"5",,,,,FLNDED,kanoa
361,"5",,,,,UNPRED,kanoa
362,"5",,,,,DIOSAN,kanoa
363,"5",,,,,DIOSAN,kanoa
364,"5",,,,,UNPRED,kanoa
365,"5",,,,,DIOSAN,kanoa
366,"5",,,,,DIOSAN,kanoa
367,"5",,,,,UNPRED,kanoa
368,"5",,,,,DIOSAN,kanoa
369,"5",,,,,DIOSAN,kanoa
370,"5",,,,,DIOSAN,kanoa
371,"5",,,,,STDDED,kanoa
372,"5",,,,,STDDED,kanoa
373,"5",,,,,STDDED,kanoa
374,"5",,,,,DIOSAN,kanoa
375,"5",,,,,DIOSAN,kanoa
376,"5",,,,,DIOSAN,kanoa
377,"5",,,,,FLNDED,kanoa
378,"5",,,,,DIOSAN,kanoa
379,"5",,,,,DIOSAN,kanoa
380,"5",,,,,DIOSAN,kanoa
381,"5",,,,,DIOSAN,kanoa
382,"5",,,,,DIOSAN,kanoa
383,"5",,,,,DIOSAN,kanoa
384,"5",,,,,DIOSAN,kanoa
385,"5",,,,,DIOSAN,kanoa
386,"5",,,,,DIOSAN,kanoa
387,"5",,,,,DIOSAN,kanoa
388,"5",,,,,DIOSAN,kanoa
389,"5",,,,,DIOSAN,kanoa
390,"5",,,,,DIOSAN,kanoa
391,"5",,,,,DIOSAN,kanoa
392,"5",,,,,DIOSAN,kanoa
393,"5",,,,,DIOSAN,kanoa
394,"5",,,,,DIOSAN,kanoa
395,"5",DIOSAN,,,,FLNDED,kanoa
396,"5",,,,,UNPRED,kanoa
397,"5",,,,,DIOSAN,kanoa
398,"5",,,,,DIOSAN,kanoa
399,"4",,,,,DIOSAN,kanoa
400,"5",,,,,STDDED,kanoa
401,"5",,,,,DIOSAN,kanoa
402,"5",,,,,DIOSAN,kanoa
403,"5",,,,,DIOSAN,kanoa
404,"5",,,,,CHRHAW,kanoa
405,"5",,,,,DIOSAN,kanoa
406,"5",,,,,DIOSAN,kanoa
407,"5",,,,,DIOSAN,kanoa
408,"5",,,,,DIOSAN,kanoa
409,"5",,,,,DIOSAN,kanoa
410,"5",,,,,STDDED,kanoa
411,"5",,,,,DIOSAN,kanoa
412,"5",,,,,DIOSAN,kanoa
413,"5",,,,,DIOSAN,kanoa
414,"5",,,,,DIOSAN,kanoa
415,"5",,,,,DIOSAN,kanoa
416,"5",,,,,DIOSAN,kanoa
417,"5",,,,,DIOSAN,kanoa
418,"5",,,,,DIOSAN,kanoa
419,"5",,,,,DIOSAN,kanoa
420,"5",,,,,DIOSAN,kanoa
421,"4",,,,,DIOSAN,kanoa
422,"5",,,,,DIOSAN,kanoa
423,"5",,,,,FLNDED,kanoa
424,"5",,,,,DIOSAN,kanoa
425,"5",,,,,DIOSAN,kanoa
426,"5",DIOSAN,,,,FLNDED,kanoa
427,"5",,,,,DIOSAN,kanoa
428,"5",,,,,DIOSAN,kanoa
429,"5",,,,,STDDED,kanoa
430,"5",,,,,DIOSAN,kanoa
431,"5",,,,,DIOSAN,kanoa
432,"5",,,,,METPOL,kanoa
433,"5",,,,,METPOL,kanoa
434,"5",,,,,DIOSAN,kanoa
435,"5",,,,,DIOSAN,kanoa
436,"5",,,,,DIOSAN,kanoa
437,"5",,,,,DIOSAN,kanoa
438,"5",,,,,DIOSAN,kanoa
439,"5",,,,,DIOSAN,kanoa
440,"5",,,,,DIOSAN,kanoa
441,"5",,,,,STDDED,kanoa
442,"5",,,,,DIOSAN,kanoa
443,"5",,,,,DIOSAN,kanoa
444,"5",,,,,DIOSAN,kanoa
445,"5",,,,,DIOSAN,kanoa
446,"5",,,,,DIOSAN,kanoa
447,"5",,,,,DIOSAN,kanoa
448,"5",,,,,DIOSAN,kanoa
449,"5",,,,,DIOSAN,kanoa
450,"5",,,,,DIOSAN,kanoa
451,"5",,,,,DIOSAN,kanoa
452,"5",,,,,DIOSAN,kanoa
453,"5",,,,,DIOSAN,kanoa
454,"5",,,,,STDDED,kanoa
455,"5",,,,,DIOSAN,kanoa
456,"5",,,,,DIOSAN,kanoa
457,"5",,,,,DIOSAN,kanoa
458,"5",,,,,DIOSAN,kanoa
459,"5",,,,,DIOSAN,kanoa
460,"5",,,,,DIOSAN,kanoa
461,"5",,,,,DIOSAN,kanoa
462,"5",,,,,DIOSAN,kanoa
463,"5",,,,,DIOSAN,kanoa
464,"5",,,,,DIOSAN,kanoa
465,"5",,,,,DIOSAN,kanoa
466,"5",,,,,DIOSAN,kanoa
467,"5",,,,,DIOSAN,kanoa
468,"5",,,,,DIOSAN,kanoa
469,"5",,,,,DIOSAN,kanoa
470,"5",,,,,DIOSAN,kanoa
471,"5",,,,,DIOSAN,kanoa
472,"4",,,,,METPOL,kanoa
473,"4",,,,,METPOL,kanoa
474,"5",,,,,UNPRED,kanoa
475,"5",,,,,DIOSAN,kanoa
476,"5",DIOSAN,,,,STDDED,kanoa
477,"5",,,,,DIOSAN,kanoa
478,"5",,,,,DIOSAN,kanoa
479,"5",,,,,DIOSAN,kanoa
480,"5",,,,,DIOSAN,kanoa
481,"5",,,,,DIOSAN,kanoa
482,"5",,,,,DIOSAN,kanoa
483,"5",,,,,DIOSAN,kanoa
484,"5",,,,,DIOSAN,kanoa
485,"5",,,,,DIOSAN,kanoa
486,"5",,,,,DIOSAN,kanoa
487,"5",,,,,DIOSAN,kanoa
488,"5",,,,,DIOSAN,kanoa
489,"5",,,,,FLNDED,kanoa
490,"5",,,,,FLNDED,kanoa
491,"5",,,,,DIOSAN,kanoa
492,"5",,,,,DIOSAN,kanoa
493,"5",,,,,DIOSAN,kanoa
494,"4",Some other species,,,,FLNDED,kanoa
495,"5",,,,,DIOSAN,kanoa
496,"5",,,,,DIOSAN,kanoa
497,"5",,,,,DIOSAN,kanoa
498,"5",,,,,DIOSAN,kanoa
499,"5",,,,,DIOSAN,kanoa
500,"5",,,,,DIOSAN,kanoa
501,"5",,,,,DIOSAN,kanoa
502,"5",,,,,DIOSAN,kanoa
503,"5",,,,,DIOSAN,kanoa
504,"5",,,,,DIOSAN,kanoa
505,"5",,,,,UNPRED,kanoa
506,"5",,,,,DIOSAN,kanoa
507,"5",,,,,STDDED,kanoa
508,"5",,,,,DIOSAN,kanoa
509,"5",,,,,DIOSAN,kanoa
510,"5",,,,,DIOSAN,kanoa
511,"5",,,,,DIOSAN,kanoa
512,"5",,,,,DIOSAN,kanoa
513,"5",,,,,STDDED,kanoa
514,"5",,,,,DIOSAN,kanoa
515,"5",,,,,UNPRED,kanoa
516,"5",,,,,DIOSAN,kanoa
517,"5",,,,,DIOSAN,kanoa
518,"5",,,,,DIOSAN,kanoa
519,"5",,,,,DIOSAN,kanoa
520,"5",,,,,FLNDED,kanoa
521,"4",,,,,METPOL,kanoa
522,"5",,,,,METPOL,kanoa
523,"5",,,,,DIOSAN,kanoa
524,"5",,,,,DIOSAN,kanoa
525,"5",,,,,DIOSAN,kanoa
526,"5",,,,,DIOSAN,kanoa
527,"5",,,,,UNPRED,kanoa
528,"5",,,,,DIOSAN,kanoa
529,"5",,,,,DIOSAN,kanoa
530,"4",,,,,DIOSAN,kanoa
531,"4",,,,,DIOSAN,kanoa
532,"5",,,,,METPOL,kanoa
533,"5",,,,,DIOSAN,kanoa
534,"5",,,,,UNPRED,kanoa
535,"5",,,,,METPOL,kanoa
536,"5",,,,,DIOSAN,kanoa
537,"5",,,,,STDDED,kanoa
538,"5",,,,,DIOSAN,kanoa
539,"5",,,,,METPOL,kanoa
540,"5",,,,,DIOSAN,kanoa
541,"5",,,,,DIOSAN,kanoa
542,"5",DIOSAN,,,,STDDED,kanoa
543,"5",,,,,DIOSAN,kanoa
544,"5",,,,,DIOSAN,kanoa
545,"5",,,,,DIOSAN,kanoa
546,"5",,,,,DIOSAN,kanoa
547,"5",,,,,UNPRED,kanoa
548,"5",,,,,DIOSAN,kanoa
549,"5",,,,,DIOSAN,kanoa
550,"5",,,,,DIOSAN,kanoa
551,"5",,,,,DIOSAN,kanoa
552,"5",,,,,DIOSAN,kanoa
553,"5",,,,,DIOSAN,kanoa
554,"5",,,,,DIOSAN,kanoa
555,"5",,,,,DIOSAN,kanoa
556,"5",,,,,DIOSAN,kanoa
557,"5",,,,,DIOSAN,kanoa
558,"5",,,,,UNPRED,kanoa
559,"5",,,,,DIOSAN,kanoa
560,"5",,,,,METPOL,kanoa
561,"5",,,,,DIOSAN,kanoa
562,"5",,,,,UNPRED,kanoa
563,"5",,,,,DIOSAN,kanoa
564,"5",,,,,DIOSAN,kanoa
565,"5",,,,,DIOSAN,kanoa
566,"5",,,,,DIOSAN,kanoa
567,"5",,,,,DIOSAN,kanoa
568,"5",,,,,METPOL,kanoa
569,"5",,,,,FLNDED,kanoa
570,"5",,,,,DIOSAN,kanoa
571,"5",,,,,DIOSAN,kanoa
572,"5",,,,,DIOSAN,kanoa
573,"5",,,,,UNPRED,kanoa
574,"5",,,,,UNPRED,kanoa
575,"5",,,,,UNPRED,kanoa
576,"5",,,,,DIOSAN,kanoa
577,"5",,,,,STDDED,kanoa
578,"5",,,,,DIOSAN,kanoa
579,"5",,,,,STDDED,kanoa
580,"5",,,,,ERYSAN,kanoa
581,"5",,,,,ERYSAN,kanoa
582,"5",,,,,STDDED,kanoa
583,"5",,,,,STDDED,kanoa
584,"5",,,,,STDDED,kanoa
585,"5",,,,,FLNDED,kanoa
586,"5",,,,,DIOSAN,kanoa
587,"5",,,,,DIOSAN,kanoa
588,"5",,,,,DIOSAN,kanoa
589,"5",,,,,DIOSAN,kanoa
590,"5",,,,,DIOSAN,kanoa
591,"5",,,,,DIOSAN,kanoa
592,"5",,,,,DIOSAN,kanoa
593,"5",,,,,DIOSAN,kanoa
594,"5",,,,,DIOSAN,kanoa
595,"5",,,,,STDDED,kanoa
596,"5",,,,,UNPRED,kanoa
597,"5",,,,,DIOSAN,kanoa
598,"5",,,,,FLNDED,kanoa
599,"5",,,,,DIOSAN,kanoa
600,"5",,,,,DIOSAN,kanoa
601,"5",,,,,DIOSAN,kanoa
602,"5",,,,,DIOSAN,kanoa
603,"5",,,,,KAUILA,kanoa
604,"5",,,,,DIOSAN,kanoa
605,"5",,,,,KAUILA,kanoa
606,"5",,,,,KAUILA,kanoa
607,"5",,,,,DIOSAN,kanoa
608,"5",,,,,DIOSAN,kanoa
609,"5",,,,,DIOSAN,kanoa
610,"5",,,,,STDDED,kanoa
611,"5",,,,,DIOSAN,kanoa
612,"5",,,,,UNPRED,kanoa
613,"5",,,,,DIOSAN,kanoa
614,"5",,,,,DIOSAN,kanoa
615,"5",,,,,DIOSAN,kanoa
616,"5",,,,,STDDED,kanoa
617,"4",,,,,PLASAN,kanoa
618,"5",,,,,DIOSAN,kanoa
619,"5",,,,,ERYSAN,kanoa
620,"5",,,,,ERYSAN,kanoa
621,"5",,,,,UNPRED,kanoa
622,"5",,,,,UNPRED,kanoa
623,"5",,,,,STDDED,kanoa
624,"5",,,,,STDDED,kanoa
625,"5",,,,,FLNDED,kanoa
626,"5",,,,,DIOSAN,kanoa
627,"3",,,,,KAUILA,kanoa
628,"5",,,,,STDDED,kanoa
629,"5",,,,,UNPRED,kanoa
630,"5",,,,,UNPRED,kanoa
631,"5",,,,,UNPRED,kanoa
632,"5",,,,,UNPRED,kanoa
633,"5",,,,,UNPRED,kanoa
634,"5",,,,,STDDED,kanoa
635,"5",,,,,UNPRED,kanoa
636,"5",,,,,UNPRED,kanoa
637,"5",,,,,UNPRED,kanoa
638,"5",,,,,KAUILA,kanoa
639,"5",,,,,KAUILA,kanoa
640,"5",,,,,KAUILA,kanoa
641,"5",,,,,KAUILA,kanoa
642,"5",,,,,KAUILA,kanoa
643,"5",,,,,CHRHAW,kanoa
644,"4",,,,,KAUILA,kanoa
645,"5",,,,,UNPRED,kanoa
646,"5",,,,,UNPRED,kanoa
647,"4",,,,,ERYSAN,kanoa
648,"5",,,,,KAUILA,kanoa
649,"5",,,,,ERYSAN,kanoa
650,"5",,,,,ERYSAN,kanoa
651,"5",,,,,ERYSAN,kanoa
652,"5",,,,,ERYSAN,kanoa
653,"5",,,,,ERYSAN,kanoa
654,"5",,,,,ERYSAN,kanoa
655,"5",,,,,ERYSAN,kanoa
656,"5",,,,,ERYSAN,kanoa
657,"5",,,,,ERYSAN,kanoa
658,"5",,,,,KAUILA,kanoa
659,"5",,,,,KAUILA,kanoa
660,"5",,,,,ERYSAN,kanoa
661,"4",,,,,OTHERS,kanoa
662,"5",,,,,KAUILA,kanoa
663,"4",,,,,KAUILA,kanoa
664,"5",,,,,ERYSAN,kanoa
665,"5",,,,,ERYSAN,kanoa
666,"5",,,,,KAUILA,kanoa
667,"5",,,,,ERYSAN,kanoa
668,"3",,,,,KAUILA,kanoa
669,"5",,,,,ERYSAN,kanoa
670,"3",,,,,KAUILA,kanoa
671,"5",,,,,UNPRED,kanoa
672,"5",,,,,UNPRED,kanoa
673,"4",,,,,METPOL,kanoa
674,"5",,,,,KAUILA,kanoa
675,"5",,,,,ERYSAN,kanoa
676,"5",,,,,ERYSAN,kanoa
677,"5",,,,,ERYSAN,kanoa
678,"3",,,,,ERYSAN,kanoa
679,"5",,,,,KAUILA,kanoa
680,"5",,,,,KAUILA,kanoa
681,"5",,,,,KAUILA,kanoa
682,"5",,,,,ERYSAN,kanoa
683,"3",,,,,ERYSAN,kanoa
